location,latitude,longitude,datetime,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,pm10,pm2_5,dust,european_aqi,european_aqi_pm10,european_aqi_pm2_5,european_aqi_ozone,european_aqi_nitrogen_dioxide
Athens,38.0,23.7,2026-03-13 00:00:00,0.0,0.0,0.2,0.0,0.0,0.0,23.8,19.2,1.0,39,25,39,16,22
Athens,38.0,23.7,2026-03-13 01:00:00,0.0,0.0,0.2,0.0,0.0,0.0,21.0,18.7,1.0,38,25,38,16,20
Athens,38.0,23.7,2026-03-13 02:00:00,0.0,0.0,0.2,0.0,0.0,0.0,21.6,17.5,1.0,37,24,37,18,18
Athens,38.0,23.7,2026-03-13 03:00:00,0.0,0.0,0.1,0.0,0.0,0.0,22.0,18.0,1.0,35,23,35,16,17
Athens,38.0,23.7,2026-03-13 04:00:00,0.0,0.0,0.1,0.0,0.0,0.0,20.3,18.7,1.0,35,22,35,16,15
Athens,38.0,23.7,2026-03-13 05:00:00,0.0,0.0,0.1,0.0,0.0,0.0,18.7,16.5,1.0,34,22,34,14,15
Athens,38.0,23.7,2026-03-13 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,19.8,15.8,1.0,34,21,34,12,17
Athens,38.0,23.7,2026-03-13 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,21.7,15.2,1.0,33,21,33,8,21
Athens,38.0,23.7,2026-03-13 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,23.6,17.8,0.0,33,21,33,9,24
Athens,38.0,23.7,2026-03-13 09:00:00,0.0,0.0,0.1,0.0,0.0,0.0,25.0,15.6,1.0,32,20,32,18,20
Athens,38.0,23.7,2026-03-13 10:00:00,0.0,0.0,0.4,0.0,0.0,0.0,18.5,10.8,1.0,31,20,31,26,13
Athens,38.0,23.7,2026-03-13 11:00:00,0.0,0.0,0.4,0.0,0.0,0.0,15.3,8.7,2.0,31,20,31,29,7
Athens,38.0,23.7,2026-03-13 12:00:00,0.0,0.0,0.6,0.0,0.0,0.0,14.2,8.3,2.0,32,20,30,32,5
Athens,38.0,23.7,2026-03-13 13:00:00,0.0,0.0,0.6,0.0,0.0,0.0,13.1,7.7,2.0,33,20,30,33,4
Athens,38.0,23.7,2026-03-13 14:00:00,0.0,0.0,0.6,0.0,0.0,0.0,13.2,7.6,2.0,34,19,30,34,4
Athens,38.0,23.7,2026-03-13 15:00:00,0.0,0.0,0.6,0.0,0.0,0.0,13.2,6.9,2.0,34,19,29,34,4
Athens,38.0,23.7,2026-03-13 16:00:00,0.0,0.0,0.5,0.0,0.0,0.0,13.0,6.1,3.0,35,19,29,35,5
Athens,38.0,23.7,2026-03-13 17:00:00,0.0,0.0,0.5,0.0,0.0,0.0,13.9,6.3,3.0,34,19,29,34,7
Athens,38.0,23.7,2026-03-13 18:00:00,0.0,0.0,0.6,0.0,0.0,0.0,15.2,7.7,4.0,32,19,28,32,11
Athens,38.0,23.7,2026-03-13 19:00:00,0.0,0.0,0.7,0.0,0.0,0.0,17.4,11.7,4.0,28,19,28,22,20
Athens,38.0,23.7,2026-03-13 20:00:00,0.0,0.0,0.7,0.0,0.0,0.0,20.6,13.7,4.0,28,19,28,18,23
Athens,38.0,23.7,2026-03-13 21:00:00,0.0,0.0,0.6,0.0,0.0,0.0,24.4,18.4,4.0,28,19,27,13,28
Athens,38.0,23.7,2026-03-13 22:00:00,0.1,0.0,0.4,0.0,0.0,0.0,25.6,20.1,4.0,30,19,27,12,30
Athens,38.0,23.7,2026-03-13 23:00:00,0.1,0.0,0.3,0.0,0.0,0.0,25.8,19.8,4.0,29,19,27,13,29
Athens,38.0,23.7,2026-03-14 00:00:00,0.0,0.0,0.2,0.0,0.0,0.0,24.0,18.0,4.0,27,19,27,13,24
Athens,38.0,23.7,2026-03-14 01:00:00,0.0,0.0,0.1,0.0,0.0,0.0,23.2,16.8,4.0,27,19,27,15,21
Athens,38.0,23.7,2026-03-14 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,22.8,17.0,4.0,27,19,27,17,17
Athens,38.0,23.7,2026-03-14 03:00:00,0.0,0.0,0.1,0.0,0.0,0.0,22.0,16.1,4.0,27,19,27,19,14
Athens,38.0,23.7,2026-03-14 04:00:00,0.0,0.0,0.1,0.0,0.0,0.0,21.4,14.8,4.0,27,19,27,19,12
Athens,38.0,23.7,2026-03-14 05:00:00,0.0,0.0,0.1,0.0,0.0,0.0,21.2,14.4,3.0,26,19,26,18,12
Athens,38.0,23.7,2026-03-14 06:00:00,0.0,0.0,0.1,0.0,0.0,0.0,21.4,14.6,3.0,26,20,26,15,13
Athens,38.0,23.7,2026-03-14 07:00:00,0.0,0.0,0.1,0.0,0.0,0.0,22.8,15.8,4.0,26,20,26,16,13
Athens,38.0,23.7,2026-03-14 08:00:00,0.0,0.0,0.1,0.0,0.0,0.0,25.4,16.6,4.0,26,20,26,16,14
Athens,38.0,23.7,2026-03-14 09:00:00,0.0,0.0,0.2,0.0,0.0,0.0,23.7,14.1,4.0,26,20,26,26,12
Athens,38.0,23.7,2026-03-14 10:00:00,0.0,0.0,0.5,0.0,0.0,0.0,17.9,10.8,4.0,28,20,26,28,7
Athens,38.0,23.7,2026-03-14 11:00:00,0.0,0.0,0.5,0.0,0.0,0.0,15.8,8.5,4.0,32,20,26,32,5
Athens,38.0,23.7,2026-03-14 12:00:00,0.0,0.0,0.5,0.0,0.0,0.0,15.8,7.5,5.0,33,20,26,33,4
Athens,38.0,23.7,2026-03-14 13:00:00,0.0,0.0,0.7,0.0,0.0,0.0,15.6,7.2,5.0,35,20,26,35,4
Athens,38.0,23.7,2026-03-14 14:00:00,0.0,0.0,0.6,0.0,0.0,0.0,14.9,7.3,5.0,36,20,26,36,4
Athens,38.0,23.7,2026-03-14 15:00:00,0.0,0.0,0.5,0.0,0.0,0.0,14.6,7.4,5.0,36,20,26,36,4
Athens,38.0,23.7,2026-03-14 16:00:00,0.0,0.0,0.5,0.0,0.0,0.0,14.7,7.6,5.0,36,20,26,36,4
Athens,38.0,23.7,2026-03-14 17:00:00,0.0,0.0,0.5,0.0,0.0,0.0,15.4,8.0,5.0,36,20,26,36,5
Athens,38.0,23.7,2026-03-14 18:00:00,0.0,0.0,0.6,0.0,0.0,0.0,16.3,9.4,6.0,34,20,26,34,7
Athens,38.0,23.7,2026-03-14 19:00:00,0.0,0.0,0.7,0.0,0.0,0.0,19.1,12.3,6.0,28,20,26,28,14
Athens,38.0,23.7,2026-03-14 20:00:00,0.0,0.0,0.9,0.0,0.0,0.0,22.3,16.9,6.0,26,20,26,18,18
Athens,38.0,23.7,2026-03-14 21:00:00,0.0,0.0,0.9,0.0,0.0,0.0,25.5,19.2,6.0,27,20,27,12,23
Athens,38.0,23.7,2026-03-14 22:00:00,0.0,0.0,0.8,0.0,0.0,0.0,26.7,20.9,6.0,28,20,27,12,28
Athens,38.0,23.7,2026-03-14 23:00:00,0.0,0.0,0.6,0.0,0.0,0.0,28.1,22.5,6.0,30,20,27,6,30
Athens,38.0,23.7,2026-03-15 00:00:00,0.0,0.0,0.5,0.0,0.0,0.0,29.6,24.8,5.0,30,20,27,6,30
Athens,38.0,23.7,2026-03-15 01:00:00,0.0,0.0,0.4,0.0,0.0,0.0,28.6,23.8,6.0,29,21,28,6,29
Athens,38.0,23.7,2026-03-15 02:00:00,0.0,0.0,0.3,0.0,0.0,0.0,25.9,21.1,6.0,31,21,28,5,31
Athens,38.0,23.7,2026-03-15 03:00:00,0.0,0.0,0.3,0.0,0.0,0.0,24.8,19.9,6.0,30,21,28,6,30
Athens,38.0,23.7,2026-03-15 04:00:00,0.0,0.0,0.4,0.0,0.0,0.0,23.8,18.7,6.0,29,21,29,8,26
Athens,38.0,23.7,2026-03-15 05:00:00,0.0,0.0,0.4,0.0,0.0,0.0,22.8,17.4,6.0,29,21,29,9,23
Athens,38.0,23.7,2026-03-15 06:00:00,0.0,0.0,0.4,0.0,0.0,0.0,22.0,16.9,6.0,29,21,29,10,22
Athens,38.0,23.7,2026-03-15 07:00:00,0.0,0.0,0.4,0.0,0.0,0.0,22.8,17.2,6.0,30,21,30,8,21
Athens,38.0,23.7,2026-03-15 08:00:00,0.0,0.0,0.5,0.0,0.0,0.0,25.1,17.6,5.0,30,21,30,11,19
Athens,38.0,23.7,2026-03-15 09:00:00,0.0,0.0,0.5,0.0,0.0,0.0,25.2,14.8,5.0,30,21,30,23,13
Athens,38.0,23.7,2026-03-15 10:00:00,0.0,0.0,0.5,0.0,0.0,0.0,21.3,13.6,4.0,30,21,30,30,10
Athens,38.0,23.7,2026-03-15 11:00:00,0.0,0.0,0.4,0.0,0.0,0.0,19.0,12.0,4.0,32,22,30,32,8
Athens,38.0,23.7,2026-03-15 12:00:00,0.1,0.0,0.4,0.0,0.0,0.0,16.9,10.3,4.0,35,22,30,35,6
Athens,38.0,23.7,2026-03-15 13:00:00,0.1,0.0,0.4,0.0,0.0,0.0,15.6,10.4,5.0,36,22,31,36,6
Athens,38.0,23.7,2026-03-15 14:00:00,0.1,0.0,0.4,0.0,0.0,0.0,16.3,10.7,4.0,36,22,31,36,6
Athens,38.0,23.7,2026-03-15 15:00:00,0.1,0.0,0.5,0.0,0.0,0.0,16.1,10.7,4.0,36,22,31,36,6
Athens,38.0,23.7,2026-03-15 16:00:00,0.1,0.0,0.5,0.0,0.0,0.0,16.0,10.8,4.0,38,22,31,38,5
Athens,38.0,23.7,2026-03-15 17:00:00,0.1,0.0,0.6,0.0,0.0,0.0,15.3,10.9,3.0,38,22,32,38,4
Athens,38.0,23.7,2026-03-15 18:00:00,0.2,0.0,0.7,0.0,0.0,0.0,17.6,11.2,3.0,36,22,32,36,6
Athens,38.0,23.7,2026-03-15 19:00:00,0.2,0.0,0.7,0.0,0.0,0.0,20.4,12.6,3.0,33,22,32,33,10
Athens,38.0,23.7,2026-03-15 20:00:00,0.2,0.0,0.8,0.0,0.0,0.0,22.4,15.9,3.0,32,22,32,30,12
Athens,38.0,23.7,2026-03-15 21:00:00,0.2,0.0,0.7,0.0,0.0,0.0,26.8,19.1,3.0,32,22,32,22,20
Athens,38.0,23.7,2026-03-15 22:00:00,0.2,0.0,0.6,0.0,0.0,0.0,27.9,21.0,4.0,32,22,32,12,23
Athens,38.0,23.7,2026-03-15 23:00:00,0.2,0.0,0.5,0.0,0.0,0.0,31.6,24.4,4.0,32,22,32,11,25
Athens,38.0,23.7,2026-03-16 00:00:00,0.1,0.0,0.5,0.0,0.0,0.0,32.0,24.6,3.0,32,22,32,12,23
Athens,38.0,23.7,2026-03-16 01:00:00,0.1,0.0,0.5,0.0,0.0,0.0,31.1,23.9,3.0,32,22,32,13,21
Athens,38.0,23.7,2026-03-16 02:00:00,0.1,0.0,0.4,0.0,0.0,0.0,29.3,22.8,3.0,32,22,32,14,21
Athens,38.0,23.7,2026-03-16 03:00:00,0.1,0.0,0.4,0.0,0.0,0.0,27.4,21.3,3.0,32,23,32,16,18
Athens,38.0,23.7,2026-03-16 04:00:00,0.1,0.0,0.4,0.0,0.0,0.0,25.2,19.5,3.0,32,23,32,17,16
Athens,38.0,23.7,2026-03-16 05:00:00,0.1,0.0,0.3,0.0,0.0,0.0,23.4,18.1,3.0,32,23,32,18,14
Athens,38.0,23.7,2026-03-16 06:00:00,0.1,0.0,0.4,0.0,0.0,0.0,22.7,17.5,3.0,33,23,33,16,15
Athens,38.0,23.7,2026-03-16 07:00:00,0.1,0.0,0.5,0.0,0.0,0.0,23.8,16.9,3.0,33,23,33,12,21
Athens,38.0,23.7,2026-03-16 08:00:00,0.1,0.0,0.9,0.0,0.0,0.0,24.7,17.6,3.0,33,23,33,10,25
Athens,38.0,23.7,2026-03-16 09:00:00,0.1,0.0,0.9,0.0,0.0,0.0,22.9,17.0,3.0,33,23,33,24,19
Athens,38.0,23.7,2026-03-16 10:00:00,0.1,0.0,0.8,0.0,0.0,0.0,19.1,12.6,3.0,33,23,33,28,13
Athens,38.0,23.7,2026-03-16 11:00:00,0.1,0.0,0.6,0.0,0.0,0.0,16.7,9.9,3.0,34,23,33,34,8
Athens,38.0,23.7,2026-03-16 12:00:00,0.1,0.0,0.6,0.0,0.0,0.0,16.6,9.6,3.0,38,23,32,38,6
Athens,38.0,23.7,2026-03-16 13:00:00,0.1,0.0,0.6,0.0,0.0,0.0,16.2,9.7,3.0,39,23,32,39,5
Athens,38.0,23.7,2026-03-16 14:00:00,0.1,0.0,0.7,0.0,0.0,0.0,15.1,9.9,3.0,39,23,32,39,5
Athens,38.0,23.7,2026-03-16 15:00:00,0.1,0.0,0.7,0.0,0.0,0.0,15.3,9.8,3.0,39,23,32,39,4
Athens,38.0,23.7,2026-03-16 16:00:00,0.1,0.0,0.6,0.0,0.0,0.0,16.2,9.6,3.0,39,22,32,39,5
Athens,38.0,23.7,2026-03-16 17:00:00,0.1,0.0,0.6,0.0,0.0,0.0,16.7,10.0,3.0,39,22,32,39,6
Athens,38.0,23.7,2026-03-16 18:00:00,0.1,0.0,0.7,0.0,0.0,0.0,18.9,11.5,3.0,36,23,32,36,10
Athens,38.0,23.7,2026-03-16 19:00:00,0.2,0.0,0.9,0.0,0.0,0.0,20.2,13.7,3.0,32,23,32,31,16
Athens,38.0,23.7,2026-03-16 20:00:00,0.1,0.0,0.9,0.0,0.0,0.0,23.8,18.0,3.0,32,23,32,29,20
Athens,38.0,23.7,2026-03-16 21:00:00,0.1,0.0,0.9,0.0,0.0,0.0,28.0,21.5,3.0,32,23,32,23,23
Athens,38.0,23.7,2026-03-16 22:00:00,0.1,0.0,0.9,0.0,0.0,0.0,28.8,22.8,3.0,33,23,33,20,22
Athens,38.0,23.7,2026-03-16 23:00:00,0.1,0.0,0.9,0.0,0.0,0.0,28.1,21.4,3.0,33,23,33,23,20
Athens,38.0,23.7,2026-03-17 00:00:00,0.1,0.0,0.8,0.0,0.0,0.0,24.5,18.4,4.2,32,23,32,25,15
Athens,38.0,23.7,2026-03-17 01:00:00,0.1,0.0,0.7,0.0,0.0,0.0,23.0,17.2,5.0,33,23,33,24,12
Athens,38.0,23.7,2026-03-17 02:00:00,0.1,0.0,0.6,0.0,0.0,0.0,23.6,18.2,6.0,34,23,34,20,13
Athens,38.0,23.7,2026-03-17 03:00:00,,,,,,,25.7,20.7,7.0,35,23,35,16,14
Athens,38.0,23.7,2026-03-17 04:00:00,,,,,,,26.5,21.7,7.0,36,24,36,15,14
Athens,38.0,23.7,2026-03-17 05:00:00,,,,,,,26.8,22.2,7.0,36,23,36,15,13
Athens,38.0,23.7,2026-03-17 06:00:00,,,,,,,26.3,22.1,6.0,35,23,35,16,13
Athens,38.0,23.7,2026-03-17 07:00:00,,,,,,,26.4,22.1,5.0,35,23,35,18,12
Athens,38.0,23.7,2026-03-17 08:00:00,,,,,,,24.0,20.2,5.0,34,23,34,20,11
Athens,38.0,23.7,2026-03-17 09:00:00,,,,,,,20.8,16.8,6.0,33,22,33,26,8
Athens,38.0,23.7,2026-03-17 10:00:00,,,,,,,17.2,10.7,8.0,33,22,33,33,5
Athens,38.0,23.7,2026-03-17 11:00:00,,,,,,,16.4,10.1,9.0,38,22,33,38,3
Athens,38.0,23.7,2026-03-17 12:00:00,,,,,,,16.4,9.9,10.0,41,22,32,41,2
Athens,38.0,23.7,2026-03-17 13:00:00,,,,,,,16.3,9.5,10.0,41,22,32,41,2
Athens,38.0,23.7,2026-03-17 14:00:00,,,,,,,16.1,9.0,11.0,42,21,32,42,2
Athens,38.0,23.7,2026-03-17 15:00:00,,,,,,,15.9,8.6,12.0,43,21,31,43,2
Athens,38.0,23.7,2026-03-17 16:00:00,,,,,,,16.2,8.5,12.0,43,21,31,43,2
Athens,38.0,23.7,2026-03-17 17:00:00,,,,,,,16.9,8.8,13.0,42,21,31,42,2
Athens,38.0,23.7,2026-03-17 18:00:00,,,,,,,16.9,9.2,13.0,41,21,31,41,2
