location,latitude,longitude,datetime,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl,cloud_cover,uv_index,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,pm10,pm2_5,dust,european_aqi,european_aqi_pm10,european_aqi_pm2_5,european_aqi_ozone,european_aqi_nitrogen_dioxide
Athens,38.0,23.75,2026-03-13 00:00:00,7.7,80,5.5,0.0,5.9,47,1021.1,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,23.8,19.2,1.0,39,25,39,16,22
Athens,38.0,23.75,2026-03-13 01:00:00,7.1,77,4.6,0.0,6.1,50,1020.8,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,21.0,18.7,1.0,38,25,38,16,20
Athens,38.0,23.75,2026-03-13 02:00:00,6.4,76,3.8,0.0,6.1,50,1020.8,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,21.6,17.5,1.0,37,24,37,18,18
Athens,38.0,23.75,2026-03-13 03:00:00,5.9,71,3.1,0.0,6.4,47,1019.8,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.0,18.0,1.0,35,23,35,16,17
Athens,38.0,23.75,2026-03-13 04:00:00,5.7,70,2.7,0.0,6.4,52,1019.1,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20.3,18.7,1.0,35,22,35,16,15
Athens,38.0,23.75,2026-03-13 05:00:00,5.0,75,2.2,0.0,5.9,47,1019.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,18.7,16.5,1.0,34,22,34,14,15
Athens,38.0,23.75,2026-03-13 06:00:00,4.9,75,2.1,0.0,5.9,47,1019.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,15.8,1.0,34,21,34,12,17
Athens,38.0,23.75,2026-03-13 07:00:00,4.9,76,2.2,0.0,5.6,45,1019.3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,15.2,1.0,33,21,33,8,21
Athens,38.0,23.75,2026-03-13 08:00:00,6.4,77,4.2,0.0,3.6,53,1019.2,13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,23.6,17.8,0.0,33,21,33,9,24
Athens,38.0,23.75,2026-03-13 09:00:00,10.5,75,9.4,0.0,1.6,63,1019.0,2,1.7,0.0,0.0,0.1,0.0,0.0,0.0,25.0,15.6,1.0,32,20,32,18,20
Athens,38.0,23.75,2026-03-13 10:00:00,13.3,58,11.6,0.0,3.3,6,1018.5,16,3.15,0.0,0.0,0.4,0.0,0.0,0.0,18.5,10.8,1.0,31,20,31,26,13
Athens,38.0,23.75,2026-03-13 11:00:00,14.8,48,12.9,0.0,6.7,16,1018.2,33,4.5,0.0,0.0,0.4,0.0,0.0,0.0,15.3,8.7,2.0,31,20,31,29,7
Athens,38.0,23.75,2026-03-13 12:00:00,15.9,44,14.3,0.0,8.3,18,1017.5,43,5.45,0.0,0.0,0.6,0.0,0.0,0.0,14.2,8.3,2.0,32,20,30,32,5
Athens,38.0,23.75,2026-03-13 13:00:00,16.6,41,14.8,0.0,8.9,21,1016.7,50,5.85,0.0,0.0,0.6,0.0,0.0,0.0,13.1,7.7,2.0,33,20,30,33,4
Athens,38.0,23.75,2026-03-13 14:00:00,17.4,38,15.4,0.0,9.2,31,1016.3,40,5.55,0.0,0.0,0.6,0.0,0.0,0.0,13.2,7.6,2.0,34,19,30,34,4
