location,latitude,longitude,datetime,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,pressure_msl,cloud_cover,uv_index
Athens,38.0,23.75,2026-03-13 00:00:00,7.7,80,5.5,0.0,5.9,47,1021.1,0,0.0
Athens,38.0,23.75,2026-03-13 01:00:00,7.1,77,4.6,0.0,6.1,50,1020.8,0,0.0
Athens,38.0,23.75,2026-03-13 02:00:00,6.4,76,3.8,0.0,6.1,50,1020.8,0,0.0
Athens,38.0,23.75,2026-03-13 03:00:00,5.9,71,3.1,0.0,6.4,47,1019.8,0,0.0
Athens,38.0,23.75,2026-03-13 04:00:00,5.7,70,2.7,0.0,6.4,52,1019.1,0,0.0
Athens,38.0,23.75,2026-03-13 05:00:00,5.0,75,2.2,0.0,5.9,47,1019.0,0,0.0
Athens,38.0,23.75,2026-03-13 06:00:00,4.9,75,2.1,0.0,5.9,47,1019.1,0,0.0
Athens,38.0,23.75,2026-03-13 07:00:00,4.9,76,2.2,0.0,5.6,45,1019.3,8,0.0
Athens,38.0,23.75,2026-03-13 08:00:00,6.4,77,4.2,0.0,3.6,53,1019.2,13,0.5
Athens,38.0,23.75,2026-03-13 09:00:00,10.5,75,9.4,0.0,1.6,63,1019.0,2,1.7
Athens,38.0,23.75,2026-03-13 10:00:00,13.3,58,11.6,0.0,3.3,6,1018.5,16,3.15
Athens,38.0,23.75,2026-03-13 11:00:00,14.8,48,12.9,0.0,6.7,16,1018.2,33,4.5
Athens,38.0,23.75,2026-03-13 12:00:00,15.9,44,14.3,0.0,8.3,18,1017.5,43,5.45
Athens,38.0,23.75,2026-03-13 13:00:00,16.6,41,14.8,0.0,8.9,21,1016.7,50,5.85
Athens,38.0,23.75,2026-03-13 14:00:00,17.4,38,15.4,0.0,9.2,31,1016.3,40,5.55
Athens,38.0,23.75,2026-03-13 15:00:00,17.1,44,14.5,0.0,11.9,35,1015.5,42,4.7
Athens,38.0,23.75,2026-03-13 16:00:00,16.0,48,12.8,0.0,13.5,56,1015.6,20,3.4
Athens,38.0,23.75,2026-03-13 17:00:00,14.8,49,12.0,0.0,10.3,54,1015.7,3,1.95
Athens,38.0,23.75,2026-03-13 18:00:00,13.2,52,10.4,0.0,8.7,73,1015.7,0,0.7
Athens,38.0,23.75,2026-03-13 19:00:00,11.3,59,8.8,0.0,6.5,93,1015.7,0,0.05
Athens,38.0,23.75,2026-03-13 20:00:00,9.8,69,7.6,0.0,6.1,90,1015.8,0,0.0
Athens,38.0,23.75,2026-03-13 21:00:00,8.4,74,6.1,0.0,5.9,79,1016.0,0,0.0
Athens,38.0,23.75,2026-03-13 22:00:00,7.3,74,4.9,0.0,5.4,70,1016.2,0,0.0
Athens,38.0,23.75,2026-03-13 23:00:00,6.4,67,3.6,0.0,5.0,60,1016.1,1,0.0
Athens,38.0,23.75,2026-03-14 00:00:00,5.6,66,2.8,0.0,4.9,54,1015.7,69,0.0
Athens,38.0,23.75,2026-03-14 01:00:00,5.1,61,2.1,0.0,4.8,48,1015.6,77,0.0
Athens,38.0,23.75,2026-03-14 02:00:00,4.8,61,1.7,0.0,4.8,48,1015.4,78,0.0
Athens,38.0,23.75,2026-03-14 03:00:00,4.4,67,1.3,0.0,5.1,45,1015.2,55,0.0
Athens,38.0,23.75,2026-03-14 04:00:00,4.1,70,1.2,0.0,4.6,51,1014.7,52,0.0
Athens,38.0,23.75,2026-03-14 05:00:00,3.9,74,1.1,0.0,4.1,45,1014.6,67,0.0
Athens,38.0,23.75,2026-03-14 06:00:00,3.8,76,1.1,0.0,4.3,42,1014.2,76,0.0
Athens,38.0,23.75,2026-03-14 07:00:00,3.9,78,1.2,0.0,4.6,45,1014.1,21,0.0
Athens,38.0,23.75,2026-03-14 08:00:00,5.2,77,2.9,0.0,3.3,41,1014.0,7,0.55
Athens,38.0,23.75,2026-03-14 09:00:00,9.4,70,8.0,0.0,0.5,45,1013.6,0,1.7
Athens,38.0,23.75,2026-03-14 10:00:00,12.3,54,10.5,0.0,1.8,323,1013.5,9,3.2
Athens,38.0,23.75,2026-03-14 11:00:00,14.2,48,12.8,0.0,3.6,354,1013.1,33,4.55
Athens,38.0,23.75,2026-03-14 12:00:00,15.6,44,14.4,0.0,5.7,18,1012.7,44,5.55
Athens,38.0,23.75,2026-03-14 13:00:00,16.3,42,14.8,0.0,7.4,29,1011.8,56,5.9
Athens,38.0,23.75,2026-03-14 14:00:00,16.7,35,14.0,0.0,8.5,36,1011.0,72,5.65
Athens,38.0,23.75,2026-03-14 15:00:00,16.7,34,13.5,0.0,8.3,34,1010.4,70,4.75
Athens,38.0,23.75,2026-03-14 16:00:00,16.3,35,12.9,0.0,9.2,51,1010.3,63,3.45
Athens,38.0,23.75,2026-03-14 17:00:00,15.7,37,12.9,0.0,6.3,24,1009.9,65,1.95
Athens,38.0,23.75,2026-03-14 18:00:00,14.7,38,12.1,0.0,4.2,20,1009.9,31,0.7
Athens,38.0,23.75,2026-03-14 19:00:00,12.5,52,10.3,0.0,4.5,76,1010.3,0,0.05
Athens,38.0,23.75,2026-03-14 20:00:00,10.3,63,7.9,0.0,5.8,90,1010.7,0,0.0
Athens,38.0,23.75,2026-03-14 21:00:00,8.7,70,6.5,0.0,4.8,77,1011.2,0,0.0
Athens,38.0,23.75,2026-03-14 22:00:00,7.6,67,5.3,0.0,3.8,49,1011.1,0,0.0
Athens,38.0,23.75,2026-03-14 23:00:00,6.6,62,3.8,0.0,4.6,39,1011.1,0,0.0
Athens,38.0,23.75,2026-03-15 00:00:00,5.3,59,2.1,0.0,5.4,48,1011.1,0,0.0
Athens,38.0,23.75,2026-03-15 01:00:00,4.5,57,1.1,0.0,5.6,45,1011.2,0,0.0
Athens,38.0,23.75,2026-03-15 02:00:00,3.9,48,0.3,0.0,5.4,42,1011.2,0,0.0
Athens,38.0,23.75,2026-03-15 03:00:00,3.4,42,-0.5,0.0,5.9,43,1010.8,0,0.0
Athens,38.0,23.75,2026-03-15 04:00:00,3.2,41,-0.9,0.0,6.1,45,1010.7,0,0.0
Athens,38.0,23.75,2026-03-15 05:00:00,3.0,42,-1.1,0.0,6.4,43,1010.6,0,0.0
Athens,38.0,23.75,2026-03-15 06:00:00,2.9,43,-1.1,0.0,6.6,45,1010.8,0,0.0
Athens,38.0,23.75,2026-03-15 07:00:00,2.9,47,-1.1,0.0,6.4,43,1011.1,0,0.0
Athens,38.0,23.75,2026-03-15 08:00:00,4.7,51,1.1,0.0,5.6,45,1011.5,0,0.6
Athens,38.0,23.75,2026-03-15 09:00:00,9.3,48,6.7,0.0,2.5,45,1011.8,0,1.85
Athens,38.0,23.75,2026-03-15 10:00:00,12.6,39,10.2,0.0,1.1,288,1012.1,0,3.35
Athens,38.0,23.75,2026-03-15 11:00:00,14.3,34,12.4,0.0,2.9,263,1011.9,0,4.75
Athens,38.0,23.75,2026-03-15 12:00:00,15.6,31,14.3,0.0,3.1,249,1011.4,8,5.75
Athens,38.0,23.75,2026-03-15 13:00:00,16.5,31,14.9,0.0,6.0,245,1010.7,21,6.1
Athens,38.0,23.75,2026-03-15 14:00:00,17.0,31,14.6,0.0,9.2,239,1010.1,34,5.8
Athens,38.0,23.75,2026-03-15 15:00:00,17.0,31,13.8,0.0,10.1,207,1010.2,32,4.9
Athens,38.0,23.75,2026-03-15 16:00:00,16.3,46,14.0,0.0,7.0,145,1010.7,25,3.55
Athens,38.0,23.75,2026-03-15 17:00:00,15.1,53,12.5,0.0,10.9,73,1011.0,17,2.05
Athens,38.0,23.75,2026-03-15 18:00:00,13.1,62,10.6,0.0,10.5,63,1011.8,1,0.7
Athens,38.0,23.75,2026-03-15 19:00:00,11.6,66,9.5,0.0,7.3,70,1012.4,8,0.05
Athens,38.0,23.75,2026-03-15 20:00:00,10.5,72,8.6,0.0,5.7,72,1013.2,10,0.0
Athens,38.0,23.75,2026-03-15 21:00:00,9.2,79,7.4,0.0,5.5,67,1013.7,7,0.0
Athens,38.0,23.75,2026-03-15 22:00:00,8.2,82,6.3,0.0,5.8,60,1013.9,6,0.0
Athens,38.0,23.75,2026-03-15 23:00:00,7.3,81,5.1,0.0,5.7,55,1014.2,22,0.0
Athens,38.0,23.75,2026-03-16 00:00:00,6.7,79,4.3,0.0,5.9,52,1014.2,38,0.0
Athens,38.0,23.75,2026-03-16 01:00:00,6.4,78,3.8,0.0,6.2,54,1014.2,18,0.0
Athens,38.0,23.75,2026-03-16 02:00:00,6.0,77,3.6,0.0,4.8,48,1014.2,93,0.0
Athens,38.0,23.75,2026-03-16 03:00:00,5.7,77,3.1,0.0,5.6,40,1014.1,100,0.0
Athens,38.0,23.75,2026-03-16 04:00:00,5.6,78,2.9,0.0,6.5,56,1013.9,92,0.0
Athens,38.0,23.75,2026-03-16 05:00:00,5.7,77,2.9,0.0,7.0,55,1014.0,65,0.0
Athens,38.0,23.75,2026-03-16 06:00:00,5.5,71,2.6,0.0,6.4,52,1014.3,10,0.0
Athens,38.0,23.75,2026-03-16 07:00:00,5.2,67,2.1,0.0,6.6,49,1014.7,5,0.05
Athens,38.0,23.75,2026-03-16 08:00:00,7.1,63,4.2,0.0,6.1,50,1015.3,0,0.55
Athens,38.0,23.75,2026-03-16 09:00:00,11.6,59,9.5,0.0,4.6,45,1015.5,0,1.55
